Date,Open,High,Low,Close
28-06-13,108.57,109.440002,106.709999,107.360001
01-07-13,109.360001,117.769997,109.150002,117.18
02-07-13,118.25,121.889999,115.5,117.82
03-07-13,118,119.25,114.269997,115.239998
05-07-13,118.32,120.279999,115.699997,120.089996
08-07-13,121.370003,122.18,118.82,121.610001
09-07-13,124.639999,125.32,121.910004,123.449997
10-07-13,123.190002,123.25,120.790001,122.269997
11-07-13,124.879997,126.089996,122.349998,125.610001
12-07-13,125.5,129.940002,124.510002,129.899994
15-07-13,133.029999,133.259995,126.82,127.260002
16-07-13,126.279999,126.32,107.300003,109.050003
17-07-13,106.519997,121.620003,104.5,120.25
18-07-13,120.970001,122.730003,116.18,119.029999
19-07-13,118.5,120.550003,116.510002,119.68
22-07-13,119.889999,126.68,119.879997,122.43
23-07-13,124,125.559998,121.82,122.739998
24-07-13,124.470001,124.5,119.559998,121.699997
25-07-13,120.400002,124.75,120.190002,124.07
26-07-13,128.139999,130.679993,126.610001,129.389999
29-07-13,129.320007,135.369995,128.25,134.619995
30-07-13,134.800003,137.490005,128.179993,131.740005
31-07-13,132.570007,134.970001,131.449997,134.279999
01-08-13,135,136.520004,132.630005,135.550003
02-08-13,134.589996,138.25,133.610001,138
05-08-13,140.009995,144.889999,139.649994,144.679993
06-08-13,144.75,145.729996,141.100006,142.149994
07-08-13,141.889999,141.949997,132.360001,134.229996
08-08-13,154.350006,158.880005,150.460007,153.479996
09-08-13,152.399994,155.949997,151.25,153
12-08-13,149.429993,150.5,142.050003,147.380005
13-08-13,149.5,149.839996,144.449997,145.429993
14-08-13,142.720001,144.839996,138.050003,139.360001
15-08-13,136.429993,143.600006,135,139.669998
16-08-13,141.630005,143.910004,140.970001,142
19-08-13,143.429993,147.380005,142.830002,144.899994
20-08-13,148.649994,149.779999,147,149.580002
21-08-13,150,150.309998,146.25,147.860001
22-08-13,149.220001,157.479996,148.139999,157.100006
23-08-13,157,162.300003,155,161.839996
26-08-13,165.149994,173,160.25,164.220001
27-08-13,162.300003,168.800003,160.949997,167.009995
28-08-13,169.059998,171.5,163.25,166.449997
29-08-13,164.220001,167.75,162.509995,166.059998
30-08-13,166.369995,169.210007,163.960007,169
03-09-13,173.399994,173.699997,166.399994,168.940002
04-09-13,169.770004,171.619995,165.559998,170.619995
05-09-13,170.100006,171.5,168.25,169.929993
06-09-13,168.570007,169.699997,165.149994,166.970001
09-09-13,163.119995,164.5,158.509995,160.699997
10-09-13,161.449997,167.5,160.630005,166.369995
11-09-13,166.410004,167.899994,162.130005,163.520004
12-09-13,164,166.759995,160.509995,164.929993
13-09-13,162.770004,166.369995,162.160004,165.539993
16-09-13,168,170.850006,165.850006,166.580002
17-09-13,165.080002,168.419998,163.360001,166.229996
18-09-13,167.070007,167.449997,164.199997,166.220001
19-09-13,170.800003,180.470001,169.080002,177.919998
20-09-13,178.899994,185.830002,178.559998,183.389999
23-09-13,184.479996,185.479996,177.110001,181.110001
24-09-13,179.139999,184.960007,177.649994,182.330002
25-09-13,183.559998,186.300003,180.5,185.240005
26-09-13,186.699997,189.679993,185.610001,188.639999
27-09-13,187.520004,191.279999,186.429993,190.899994
30-09-13,189,194.5,188,193.369995
01-10-13,193.960007,194.229996,188.369995,193
02-10-13,188.589996,191.830002,175.399994,180.949997
03-10-13,175.050003,179.690002,168,173.309998
04-10-13,176.399994,181.179993,172.649994,180.979996
07-10-13,182.460007,186.729996,180.259995,183.070007
08-10-13,184.399994,185.929993,173.210007,174.729996
09-10-13,174.729996,174.990005,161.5,168.779999
10-10-13,173.089996,175.75,169.690002,172.929993
11-10-13,172.75,179.289993,171.199997,178.699997
14-10-13,175,182.5,174.149994,179.720001
15-10-13,185.279999,188.789993,183.179993,183.940002
16-10-13,184.899994,187.300003,182.089996,183.559998
17-10-13,183.539993,184.800003,180.990005,182.800003
18-10-13,184.149994,185.960007,182.520004,183.399994
21-10-13,183.279999,183.389999,171,172.600006
22-10-13,170.5,177.779999,166.110001,171.539993
23-10-13,168.910004,171.809998,160.149994,164.5
24-10-13,165,174.5,162.830002,173.149994
25-10-13,174.210007,174.5,166.800003,169.660004
28-10-13,170.179993,170.5,162.199997,162.860001
29-10-13,162.759995,165.449997,153,164.470001
30-10-13,164.630005,167.679993,158.169998,159.220001
31-10-13,155.669998,162.440002,153.300003,159.940002
01-11-13,163,165.899994,160.410004,162.169998
04-11-13,165,175.389999,164.220001,175.199997
05-11-13,180,181.429993,171.360001,176.809998
06-11-13,154.809998,160.729996,146.350006,151.160004
07-11-13,144.190002,145.649994,137.619995,139.770004
08-11-13,136.479996,140.600006,132.320007,137.949997
11-11-13,141,145.419998,137.100006,144.699997
12-11-13,144.690002,144.699997,136.179993,137.800003
13-11-13,140.839996,142.369995,136.339996,138.699997
14-11-13,138.919998,140.399994,134.110001,137.600006
15-11-13,136.850006,137.949997,134.350006,135.449997
18-11-13,135.270004,135.449997,119.610001,121.580002
19-11-13,119.43,129,119.220001,126.089996
20-11-13,126.080002,127.449997,119.059998,121.110001
21-11-13,122.889999,124.790001,120.25,122.099998
22-11-13,121.580002,122.75,117.93,121.379997
25-11-13,124.5,125.839996,120.300003,120.839996
26-11-13,119.379997,122.720001,116.099998,120.5
27-11-13,121.309998,126.949997,119.519997,126.940002
29-11-13,129.770004,130.589996,126.980003,127.279999
02-12-13,126.349998,128.550003,123.93,124.169998
03-12-13,132.679993,144.940002,131.589996,144.699997
04-12-13,144.320007,144.429993,137.130005,138.949997
05-12-13,140.149994,143.350006,139.5,140.479996
06-12-13,141.509995,142.490005,136.300003,137.360001
09-12-13,137,141.699997,134.210007,141.600006
10-12-13,140.050003,145.869995,139.860001,142.190002
11-12-13,141.880005,143.050003,139.490005,139.649994
12-12-13,139.699997,148.240005,138.529999,147.470001
13-12-13,148.050003,151.800003,147.320007,147.649994
16-12-13,148.479996,150.429993,146.100006,147.940002
17-12-13,147.580002,154.630005,146.320007,152.460007
18-12-13,152.240005,154.899994,145.949997,147.979996
19-12-13,146.899994,147,139.100006,140.720001
20-12-13,141.580002,144.350006,141.580002,143.240005
23-12-13,144.850006,146.240005,142.600006,143.550003
24-12-13,150,154.970001,149.820007,151.410004
26-12-13,155.039993,158,154.289993,155.5
27-12-13,155.300003,155.5,150.800003,151.119995
30-12-13,151.119995,154.809998,150.75,152.440002
31-12-13,152.320007,153.199997,148.660004,150.429993
02-01-14,149.800003,152.479996,146.550003,150.100006
03-01-14,150,152.190002,148.600006,149.559998
06-01-14,150,150.399994,145.240005,147
07-01-14,147.619995,150.399994,145.25,149.360001
08-01-14,148.850006,153.699997,148.759995,151.279999
09-01-14,152.5,153.429993,146.850006,147.529999
10-01-14,148.460007,148.899994,142.25,145.720001
13-01-14,145.779999,147,137.820007,139.339996
14-01-14,140.5,162,136.669998,161.270004
15-01-14,168.449997,172.229996,162.100006,164.130005
16-01-14,162.5,172.699997,162.399994,170.970001
17-01-14,170.190002,173.199997,167.949997,170.009995
21-01-14,171.240005,177.289993,170.809998,176.679993
22-01-14,177.809998,180.320007,174.759995,178.559998
23-01-14,177.229996,182.380005,173.419998,181.5
24-01-14,177.850006,180.479996,173.529999,174.600006
27-01-14,175.160004,177.919998,164.710007,169.619995
28-01-14,171.5,178.979996,171,178.380005
29-01-14,175.300003,179.089996,173.130005,175.229996
30-01-14,178,184.779999,177.009995,182.839996
31-01-14,178.850006,186,178.509995,181.410004
03-02-14,182.889999,184.880005,175.160004,177.110001
04-02-14,180.699997,181.600006,176.199997,178.729996
05-02-14,178.300003,180.589996,169.360001,174.419998
06-02-14,176.300003,180.110001,176,178.380005
07-02-14,181.009995,186.630005,179.600006,186.529999
10-02-14,189.339996,199.300003,189.320007,196.559998
11-02-14,198.970001,202.199997,192.699997,196.619995
12-02-14,195.779999,198.270004,194.320007,195.320007
13-02-14,193.339996,202.720001,193.25,199.630005
14-02-14,198.100006,201.880005,197,198.229996
18-02-14,205.240005,206,201.360001,203.699997
19-02-14,203.699997,203.699997,193.410004,193.639999
20-02-14,215.009995,215.210007,206.270004,209.970001
21-02-14,211.639999,213.979996,209.190002,209.600006
24-02-14,208.759995,218.360001,208.320007,217.649994
25-02-14,230,259.200012,228.449997,248
26-02-14,258.579987,265,247.5,253
27-02-14,261.25,261.899994,248.330002,252.539993
28-02-14,249.649994,252.679993,242.550003,244.809998
03-03-14,237.259995,251.649994,234.990005,250.559998
04-03-14,258.480011,260,252.830002,254.839996
05-03-14,256.720001,256.98999,251.800003,252.660004
06-03-14,254.139999,257.5,249.449997,252.940002
07-03-14,252.940002,254.850006,244.410004,246.210007
10-03-14,242.699997,243,236.059998,238.839996
11-03-14,236.5,244.600006,232.429993,234.410004
12-03-14,231.5,247.5,231.110001,241.490005
13-03-14,243.789993,244.190002,234,237.789993
14-03-14,235.289993,236.940002,228.320007,230.970001
17-03-14,234.949997,237.929993,230.5,233.979996
18-03-14,236.949997,241.5,235.020004,240.039993
19-03-14,241.389999,241.550003,233.509995,235.839996
20-03-14,236.160004,239.25,233.360001,234.910004
21-03-14,236.020004,236.199997,227.5,228.889999
24-03-14,229.75,229.899994,210.270004,220.169998
25-03-14,224.139999,227.050003,217.899994,220.440002
26-03-14,221.949997,222.600006,211.350006,212.960007
27-03-14,212.369995,213.600006,203,207.320007
28-03-14,212.800003,216.720001,210.270004,212.369995
31-03-14,216.5,216.75,206.389999,208.449997
01-04-14,209.020004,218.160004,208.580002,216.970001
02-04-14,220,230.889999,218.050003,230.289993
03-04-14,230.300003,235.729996,222,225.399994
04-04-14,226.009995,228.270004,211.25,212.229996
07-04-14,205.809998,216.199997,203.509995,207.520004
08-04-14,210.050003,216.490005,206.419998,215.460007
09-04-14,216.759995,218.449997,210.889999,216.929993
10-04-14,216.820007,217.5,203.789993,204.190002
11-04-14,200.610001,207,198.600006,203.779999
14-04-14,207.600006,208.440002,194.410004,198.089996
15-04-14,199.089996,199.289993,184.320007,193.910004
16-04-14,197,199.990005,190.820007,199.110001
17-04-14,199.610001,202.289993,194.080002,198.119995
21-04-14,197.080002,206.199997,194,204.380005
22-04-14,206.360001,219.330002,205.009995,218.639999
23-04-14,216.330002,216.740005,207,207.990005
24-04-14,210.809998,212.800003,203.199997,207.860001
25-04-14,202,206.699997,197.649994,199.850006
28-04-14,200,203.789993,190.5,198.509995
29-04-14,198.210007,207.149994,195.529999,206.919998
30-04-14,203.600006,208.160004,201.279999,207.889999
01-05-14,207.080002,214.020004,205.690002,207.729996
02-05-14,208.600006,211.360001,206.520004,210.910004
05-05-14,209.479996,217.690002,208.520004,216.610001
06-05-14,216.600006,218.660004,206.850006,207.279999
07-05-14,209.639999,210.199997,197.25,201.350006
08-05-14,182,194.399994,178,178.589996
09-05-14,179.860001,183.399994,177.220001,182.259995
12-05-14,183.869995,187.190002,179.880005,184.669998
13-05-14,183.759995,191.339996,183,190.160004
14-05-14,188.949997,193.479996,187.100006,190.619995
15-05-14,189.979996,192.660004,185.300003,188.589996
16-05-14,188.949997,192.039993,187.720001,191.559998
19-05-14,190.720001,196.889999,190,196.089996
20-05-14,196.940002,199.330002,193.070007,195.300003
21-05-14,196.179993,199.869995,194.789993,199.449997
22-05-14,200.350006,206.880005,199.559998,204.880005
23-05-14,204.529999,207.759995,202.5,207.300003
27-05-14,208.520004,213.869995,207.699997,211.559998
28-05-14,210.020004,212.770004,205.259995,210.240005
29-05-14,210.570007,212.490005,207.720001,210.240005
30-05-14,210.300003,214.800003,207.020004,207.770004
02-06-14,207.330002,209.350006,201.669998,204.699997
03-06-14,203.490005,208,202.589996,204.940002
04-06-14,204.350006,206.259995,200.399994,203.990005
05-06-14,204.470001,209.199997,204.050003,206.899994
06-06-14,209.75,210.809998,207.179993,208.169998
09-06-14,207.949997,209.990005,204.199997,205.309998
10-06-14,204.429993,206.970001,201.550003,202.300003
11-06-14,201.5,205,199.25,204.470001
12-06-14,205.100006,209.880005,202.710007,203.520004
13-06-14,204.779999,206.789993,201.580002,206.419998
16-06-14,206.759995,225.490005,206.259995,224.610001
17-06-14,224.110001,235.539993,222.850006,231.669998
18-06-14,231.5,231.710007,226.119995,227.119995
19-06-14,228.880005,235.309998,227,227.789993
20-06-14,228.520004,231.289993,226.199997,229.589996
23-06-14,229.509995,238.990005,228.220001,237.220001
24-06-14,238.970001,241.880005,231.630005,232.5
25-06-14,233.050003,237.550003,230.240005,236.889999
26-06-14,237.169998,240.399994,234.210007,235.600006
27-06-14,234.690002,240,234.5,239.059998
30-06-14,239.550003,244.490005,239,240.059998
01-07-14,242.460007,243.440002,238.699997,239.720001
02-07-14,240.660004,242.330002,227.070007,229.429993
03-07-14,231.289993,231.899994,224,229.25
07-07-14,227.5,229.779999,220.399994,222.660004
08-07-14,218.649994,220.960007,214.270004,219.070007
09-07-14,221.270004,224.220001,219.210007,223.059998
10-07-14,217.179993,222.220001,216.039993,219.460007
11-07-14,220.610001,221.600006,217.600006,218.130005
14-07-14,219.990005,228.789993,215.449997,226.699997
15-07-14,226.729996,227.649994,218.100006,219.580002
16-07-14,221.820007,224.800003,216.820007,217.160004
17-07-14,216.160004,220.550003,213.600006,215.399994
18-07-14,215.949997,221.210007,215.929993,220.020004
21-07-14,217.25,223.210007,216.720001,220.539993
22-07-14,222.190002,223.300003,219.110001,219.580002
23-07-14,220.009995,224.75,219.429993,222.490005
24-07-14,223.25,225.100006,220.800003,223.539993
25-07-14,222.720001,226.970001,221.75,223.570007
28-07-14,224.25,232,221.399994,224.820007
29-07-14,226.610001,228.300003,224.860001,225.009995
30-07-14,221.919998,229.600006,221.039993,228.919998
31-07-14,229.259995,231.399994,221.5,223.300003
01-08-14,226.089996,237.5,226,233.270004
04-08-14,234.380005,240.5,233.270004,238.520004
05-08-14,237.470001,242.990005,235.690002,238.490005
06-08-14,238.899994,251.419998,238.580002,248.929993
07-08-14,250.119995,256.690002,249.119995,252.389999
08-08-14,251.160004,251.759995,246.5,248.130005
11-08-14,255.479996,263.73999,255,259.320007
12-08-14,258.079987,260.299988,254.580002,259.959991
13-08-14,262.01001,265.640015,259.609985,260.309998
14-08-14,262.48999,263,256.5,261.380005
15-08-14,261.480011,262.089996,258.5,262.01001
18-08-14,263.25,267.26001,259.75,259.940002
19-08-14,258.869995,259.329987,251.619995,256.76001
20-08-14,254.669998,258.73999,253,255.710007
21-08-14,256.519989,258.799988,253.259995,254.339996
22-08-14,254.539993,256.950012,252.610001,256.779999
25-08-14,258.190002,263.679993,258.190002,262.549988
26-08-14,264.980011,265.5,261.660004,261.73999
27-08-14,263.5,264.23999,260.290009,263.25
28-08-14,261.890015,264.480011,261.640015,263.859985
29-08-14,268.700012,272,267.51001,269.700012
02-09-14,275.5,284.890015,274.299988,284.119995
03-09-14,287.670013,288,280.100006,281.190002
04-09-14,284.01001,291.420013,280.399994,286.040009
05-09-14,282.549988,282.899994,272.51001,277.390015
08-09-14,277.619995,284.880005,277.519989,282.109985
09-09-14,282.98999,285.48999,277,278.480011
10-09-14,279.5,281.410004,273.660004,281.100006
11-09-14,280.459991,284.790009,278.630005,280.309998
12-09-14,280.5,282.390015,277,279.200012
15-09-14,274.369995,274.399994,249.130005,253.860001
16-09-14,255.149994,262.459991,252.419998,260.73999
17-09-14,262.410004,264.700012,259.5,261.380005
18-09-14,263.359985,265.600006,262.320007,263.820007
19-09-14,257.98999,261.429993,255.270004,259.320007
22-09-14,255,256.019989,244.710007,250.029999
23-09-14,245.220001,253.800003,245,250.410004
24-09-14,251.119995,252.839996,247.039993,252.139999
25-09-14,252.520004,254.960007,246.100006,246.949997
26-09-14,248.25,249.729996,246.070007,246.600006
29-09-14,244,248.639999,241.380005,245.259995
30-09-14,246.919998,247.649994,240.119995,242.679993
01-10-14,242.199997,242.660004,235.649994,240.240005
02-10-14,250.199997,252.789993,245.360001,251.419998
03-10-14,253.059998,256.5,251.029999,255.210007
06-10-14,259.130005,262.48999,257.799988,260.619995
07-10-14,258.529999,261.459991,255.729996,259.570007
08-10-14,260.100006,262.880005,252.639999,259.279999
09-10-14,262.25,265.540009,254.399994,257.01001
10-10-14,244.639999,245.889999,235.199997,236.910004
13-10-14,238.570007,238.960007,221,224.589996
14-10-14,228.25,232.470001,223,227.059998
15-10-14,220,230.990005,217.320007,229.699997
16-10-14,219.720001,229.919998,219.100006,226.350006
17-10-14,233.380005,234.770004,226.550003,227.479996
20-10-14,226.720001,232.399994,225.509995,230.470001
21-10-14,234.270004,235.389999,230.800003,235.339996
22-10-14,233.190002,237.389999,230.559998,231.100006
23-10-14,234.660004,236.279999,232,235.289993
24-10-14,236.270004,237.800003,231.199997,235.240005
27-10-14,234.25,234.610001,220.309998,221.669998
28-10-14,229.600006,244.600006,228.25,242.770004
29-10-14,241.130005,241.5,235.639999,238.100006
30-10-14,238.139999,240.5,235.059998,238.660004
31-10-14,242.509995,243.119995,238.75,241.699997
03-11-14,243,247.559998,241.320007,242.589996
04-11-14,240.490005,242.350006,236.529999,238.929993
05-11-14,241,241.360001,230.529999,230.970001
06-11-14,234.490005,246.690002,228.5,241.220001
07-11-14,242.190002,242.839996,237.199997,240.199997
10-11-14,239.110001,242.880005,236.800003,241.929993
11-11-14,242.550003,251.820007,242,251.080002
12-11-14,249.720001,252.339996,245.580002,249.100006
13-11-14,250.619995,255.75,250.25,251.699997
14-11-14,250,258.850006,248.5,258.679993
17-11-14,257.48999,259,252.020004,253.979996
18-11-14,255.860001,259.98999,255.509995,257.700012
19-11-14,250.610001,251.880005,245.600006,247.740005
20-11-14,247.949997,250.929993,246,248.710007
21-11-14,252.210007,252.779999,242.169998,242.779999
24-11-14,245.199997,247.600006,240.639999,246.720001
25-11-14,247.350006,249.720001,246.089996,248.089996
26-11-14,248.339996,249,246.600006,248.440002
28-11-14,245.350006,246.690002,242.520004,244.520004
01-12-14,241.160004,242.470001,229.009995,231.639999
02-12-14,234.570007,234.880005,228,231.429993
03-12-14,226.25,229.720001,225.5,229.300003
04-12-14,228.600006,230.899994,227.809998,228.279999
05-12-14,228.669998,229.389999,222.259995,223.710007
08-12-14,221.539993,224.860001,212.339996,214.360001
09-12-14,209.339996,217.729996,204.270004,216.889999
10-12-14,214.130005,216.770004,207.699997,209.839996
